"Oldtimer";
"Kanalboote";
"Nischenhobby";"Fliegenfischen, Orchideen, Golf, ..."
"Esoterik";
"Militär";
"Schrotflinte";
"Testament";
"weirde Dorftradition";"muss kein Event sein"
"Dorffeier/-event";
"Lokalpolitik";
"Beerdigung";
"Jagd";
"Familienfehde";"nein Mama, nur weil die sich nicht mögen heißt das nicht, dass die eine Fehde haben"
"Affäre";
"Wasser";"Kanal, Mühle, Fluss, Regen, ..."
"Cricket";
"Lokalzeitung";
"öffentliches Wegerecht";
"problematischer Altersunterschied";
"Tee";
"'kreative' Namen"; "Drinkwater, Monkberry, Claypole, ..."

